Store;Region_Code;Area_Name;Latitude;Longitude
1;CA;San Leandro;37.7146733754255;-122.1765640875993
2;CA;Anderson;40.43127991160498;-122.28649591418105
3;CA;Richmond;37.97973109032769;-122.32643578441241
4;CA;Antelope;38.71249300350561;-121.39282905739084
5;CA;Marina;36.693189822438384;-121.79952075378868
6;CA;Sanger;36.70614717344548;-119.57720439267482
7;CA;Kerman;36.73237943931472;-120.04246239558492
8;CA;Wasco;35.60420574850144;-119.35690681204318
9;CA;Bakersfield;35.30962595953532;-119.09351480782381
10;CA;Lompoc;34.66298028198402;-120.46531580017951
11;CA;Arroyo Grande;35.128890958783565;-120.59459696047895
12;CA;Paso Robles;35.612249968159205;-120.68055479140585
13;CA;Willows;39.52584340568864;-122.21810230789234
14;CA;Gilroy;37.0085987869883;-121.54911979795301
15;CA;Mountain View;37.40114343940048;-122.10859465877913
16;CA;Merced;37.3182305014868;-120.49979751142978
17;CA;Marysville;39.12728675658474;-121.57389660604485
18;CA;Susanville;40.40895019395679;-120.63763065147926
19;CA;Eureka;40.7806019477301;-124.19091581915926
20;CA;South Gate;33.95464559297294;-118.1874801965088
21;CA;Panorama City;34.22247696421925;-118.44937135363851
22;CA;San Diego;32.58143919223697;-117.03568240953277
23;CA;Chula Vista;32.60696851914363;-117.08338470159488
24;CA;National City;32.674488374933496;-117.09954117698922
25;CA;La Mesa;32.77635986018089;-117.01055347698471
26;CA;El Cajon;32.79723157652664;-116.93678486163994
27;CA;Santee;32.84192619834033;-116.9905286928555
28;CA;San Marcos;33.135631735270124;-117.12366124019583
29;CA;Oceanside;33.24080350772257;-117.29111276532358
30;CA;Temecula;33.479775418052874;-117.09485374970393
31;CA;Murrieta;33.55302192252308;-117.19209149282365
32;CA;Lake Elsinore;33.69428556009297;-117.33431802667845
33;CA;Rancho Santa Margarita;33.640745084469;-117.60093946887976
34;CA;Laguna Niguel;33.563347379678056;-117.71312303647305
35;CA;Orange;33.82786632181782;-117.83829308791093
36;CA;Irvine;33.69880102314712;-117.83601631688973
37;CA;Westminster;33.767318668796115;-117.99354993276025
38;CA;Anaheim;33.83673408313646;-117.93841278804742
39;CA;Brea;33.913634346243626;-117.8655627555045
40;CA;City of Industry;33.99811840547257;-117.93256693645328
41;CA;Chino;33.99493499357876;-117.71934015841215
42;CA;Cerritos;33.87283130862652;-118.06241951502997
43;CA;Compton;33.90971446749052;-118.20816717323008
44;CA;Covina;34.102289967573746;-117.90976745734758
45;CA;Pico Rivera;33.984755552821696;-118.10473723698368
